5
BBBBBBBBBBBBBBBBBBBBBB
B   SSSSSSSSSSSSSS   B
BSSSSSSSSSSSSSSSSSSS B
B SSSSSS      SSSSSSSB
BSSSSSS        SSSSSSB
BSSSSS          SSSSSB
B                    B
B                    B
B                    B
B                    B
B                    B
B                    B
B                    B
B                    B
B                    B
B                    B
B                    B
B                    B
B                    B
B                    B
B                    B
B                    B
B                    B
B                    B
B                    B
B                    B
B                    B
B                    B
B                    B
B                    B
